09:29:39.658 [main] INFO  c.l.reggie_takeout.ReggieApplication - Starting ReggieApplication using Java 17.0.11 with PID 22374 (/Users/liyang/Documents/Code/how2Java/SpringSeries/Reggie/target/classes started by liyang in /Users/liyang/Documents/Code/how2Java/SpringSeries/Reggie)
09:29:39.662 [main] INFO  c.l.reggie_takeout.ReggieApplication - No active profile set, falling back to 1 default profile: "default"
09:29:40.362 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
09:29:40.369 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
09:29:40.370 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
09:29:40.370 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
09:29:40.401 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
09:29:40.401 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 698 ms
09:29:40.700 [main] INFO  c.l.r.config.WebMVCConfig - 加载静态资源映射
09:29:40.700 [main] INFO  c.l.r.config.WebMVCConfig - 加载静态资源映射成功
09:29:40.843 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
09:29:40.857 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
09:29:40.866 [main] INFO  c.l.reggie_takeout.ReggieApplication - Started ReggieApplication in 1.542 seconds (process running for 2.193)
09:29:40.867 [main] INFO  c.l.reggie_takeout.ReggieApplication - 项目启动成功
09:29:59.168 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
09:29:59.169 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
09:29:59.173 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
09:29:59.175 [http-nio-8080-exec-1] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/index.html
09:29:59.221 [http-nio-8080-exec-3] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/plugins/element-ui/index.css
09:29:59.226 [http-nio-8080-exec-3] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/images/icons/btn_back@2x.png
09:29:59.226 [http-nio-8080-exec-5] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/styles/index.css
09:29:59.226 [http-nio-8080-exec-6] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/images/login/login-logo.png
09:29:59.226 [http-nio-8080-exec-2] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/styles/common.css
09:29:59.227 [http-nio-8080-exec-4] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/styles/icon/iconfont.css
09:29:59.236 [http-nio-8080-exec-10] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/plugins/element-ui/index.js
09:29:59.236 [http-nio-8080-exec-9] INFO  c.l.r.filter.LoginCheckFilter - 拦截到 url： /backend/plugins/vue/vue.js
